rejection_reason,count
b_support_too_low,123
b_min_fold_support_too_low,208
b_sign_consistency_too_low,1148
b_mask_ic_uplift_too_low,576
b_positive_ic_fraction_too_low,219
b_decile_spread_too_low,8
b_support_too_high,2
low_support,6
b_oos_ic_too_low,13
