reason,usage_count
all_negative_path,646
group_violation_location_2,299
contradiction_reg_atr_change_rate_ts_top20,290
group_violation_location_3,114
contradiction_reg_atr_change_rate_ts_band20_80,93
group_violation_location_4,16
